"County","Week Ending","Claim Type","Claims","Previous Week","+/- Change from Previous Week","% Change from Previous Week","4 Week Average"
"Elko","2019-12-28","continued","224","235","-11","-4.68%","217"
"Esmeralda","2019-12-28","continued","4","5","-1","-20.00%","6"
"Eureka","2019-12-28","continued","3","3","0","0.00%","4"
"Humboldt","2019-12-28","continued","46","56","-10","-17.86%","54"
"Lander","2019-12-28","continued","45","47","-2","-4.26%","41"
"Lincoln","2019-12-28","continued","11","14","-3","-21.43%","13"
"Lyon","2019-12-28","continued","373","387","-14","-3.62%","363"
"Mineral","2019-12-28","continued","16","16","0","0.00%","15"
"Nye","2019-12-28","continued","225","230","-5","-2.17%","220"
"Pershing","2019-12-28","continued","28","29","-1","-3.45%","32"
"Storey","2019-12-28","continued","11","9","2","22.22%","8"
"Washoe","2019-12-28","continued","2,370","2,449","-79","-3.23%","2,308"
"White Pine","2019-12-28","continued","35","36","-1","-2.78%","35"
"Unknown","2019-12-28","continued","482","498","-16","-3.21%","460"
"Carson City","2019-12-21","initial","60","74","-14","-18.92%","64"
"Churchill","2019-12-21","initial","14","35","-21","-60.00%","23"
"Clark","2019-12-21","initial","2,351","2,188","163","7.45%","2,240"
"Douglas","2019-12-21","initial","32","38","-6","-15.79%","40"
"Elko","2019-12-21","initial","40","40","0","0.00%","40"
"Esmeralda","2019-12-21","initial","0","0","0","","0"
"Eureka","2019-12-21","initial","1","0","1","Inf","0"
"Humboldt","2019-12-21","initial","2","10","-8","-80.00%","8"
"Lander","2019-12-21","initial","7","7","0","0.00%","6"
"Lincoln","2019-12-21","initial","3","2","1","50.00%","3"
"Lyon","2019-12-21","initial","63","65","-2","-3.08%","76"
"Mineral","2019-12-21","initial","3","6","-3","-50.00%","3"
"Nye","2019-12-21","initial","25","33","-8","-24.24%","28"
"Pershing","2019-12-21","initial","2","2","0","0.00%","3"
"Storey","2019-12-21","initial","3","2","1","50.00%","2"
"Washoe","2019-12-21","initial","324","430","-106","-24.65%","451"
"White Pine","2019-12-21","initial","8","7","1","14.29%","6"
"Unknown","2019-12-21","initial","126","142","-16","-11.27%","139"
"Carson City","2019-12-21","continued","356","337","19","5.64%","321"
"Churchill","2019-12-21","continued","104","97","7","7.22%","88"
"Clark","2019-12-21","continued","14,428","13,901","527","3.79%","14,071"
"Douglas","2019-12-21","continued","217","203","14","6.90%","191"
"Elko","2019-12-21","continued","235","212","23","10.85%","204"
"Esmeralda","2019-12-21","continued","5","6","-1","-16.67%","6"
"Eureka","2019-12-21","continued","3","4","-1","-25.00%","4"
"Humboldt","2019-12-21","continued","56","58","-2","-3.45%","56"
"Lander","2019-12-21","continued","47","42","5","11.90%","38"
"Lincoln","2019-12-21","continued","14","17","-3","-17.65%","12"
"Lyon","2019-12-21","continued","387","375","12","3.20%","340"
"Mineral","2019-12-21","continued","16","15","1","6.67%","15"
"Nye","2019-12-21","continued","230","217","13","5.99%","213"
"Pershing","2019-12-21","continued","29","35","-6","-17.14%","32"
"Storey","2019-12-21","continued","9","8","1","12.50%","7"
"Washoe","2019-12-21","continued","2,449","2,379","70","2.94%","2,176"
"White Pine","2019-12-21","continued","36","34","2","5.88%","34"
"Unknown","2019-12-21","continued","498","451","47","10.42%","431"
"Carson City","2019-12-14","initial","74","77","-3","-3.90%","60"
"Churchill","2019-12-14","initial","35","33","2","6.06%","24"
"Clark","2019-12-14","initial","2,188","2,153","35","1.63%","2,201"
"Douglas","2019-12-14","initial","38","57","-19","-33.33%","39"
"Elko","2019-12-14","initial","40","44","-4","-9.09%","39"
"Esmeralda","2019-12-14","initial","0","0","0","","0"
"Eureka","2019-12-14","initial","0","0","0","","0"
"Humboldt","2019-12-14","initial","10","10","0","0.00%","9"
"Lander","2019-12-14","initial","7","5","2","40.00%","5"
"Lincoln","2019-12-14","initial","2","2","0","0.00%","2"
"Lyon","2019-12-14","initial","65","117","-52","-44.44%","74"
"Mineral","2019-12-14","initial","6","2","4","200.00%","3"
"Nye","2019-12-14","initial","33","32","1","3.12%","32"
"Pershing","2019-12-14","initial","2","7","-5","-71.43%","4"
"Storey","2019-12-14","initial","2","3","-1","-33.33%","2"
