state_name,state_fips,state_abbrev,county_name,county_fips,year,month,unemployed,unemployment_rate
South Dakota,46,SD,Bennett,46007,2019,10,60,5.40%
South Dakota,46,SD,Bon Homme,46009,2019,10,88,3.10%
South Dakota,46,SD,Brookings,46011,2019,10,625,3.20%
South Dakota,46,SD,Brown,46013,2019,10,616,3.00%
South Dakota,46,SD,Brule,46015,2019,10,80,3.20%
South Dakota,46,SD,Buffalo,46017,2019,10,46,6.80%
South Dakota,46,SD,Butte,46019,2019,10,166,3.30%
South Dakota,46,SD,Campbell,46021,2019,10,23,3.00%
South Dakota,46,SD,Charles Mix,46023,2019,10,136,3.60%
South Dakota,46,SD,Clark,46025,2019,10,60,3.10%
South Dakota,46,SD,Clay,46027,2019,10,255,3.30%
South Dakota,46,SD,Codington,46029,2019,10,429,2.80%
South Dakota,46,SD,Corson,46031,2019,10,80,5.70%
South Dakota,46,SD,Custer,46033,2019,10,149,3.70%
South Dakota,46,SD,Davison,46035,2019,10,297,2.70%
South Dakota,46,SD,Day,46037,2019,10,101,3.70%
South Dakota,46,SD,Deuel,46039,2019,10,75,3.40%
South Dakota,46,SD,Dewey,46041,2019,10,159,7.20%
South Dakota,46,SD,Douglas,46043,2019,10,41,2.60%
South Dakota,46,SD,Edmunds,46045,2019,10,58,2.80%
South Dakota,46,SD,Fall River,46047,2019,10,114,3.90%
South Dakota,46,SD,Faulk,46049,2019,10,35,3.20%
South Dakota,46,SD,Grant,46051,2019,10,113,2.50%
South Dakota,46,SD,Gregory,46053,2019,10,70,3.30%
South Dakota,46,SD,Haakon,46055,2019,10,28,2.60%
South Dakota,46,SD,Hamlin,46057,2019,10,86,2.60%
South Dakota,46,SD,Hand,46059,2019,10,48,2.60%
South Dakota,46,SD,Hanson,46061,2019,10,63,3.60%
South Dakota,46,SD,Harding,46063,2019,10,22,3.00%
South Dakota,46,SD,Hughes,46065,2019,10,247,2.50%
South Dakota,46,SD,Hutchinson,46067,2019,10,103,2.80%
South Dakota,46,SD,Hyde,46069,2019,10,23,3.40%
South Dakota,46,SD,Jackson,46071,2019,10,65,5.20%
