weekEnding,county,claims
8/7/2010,PUTNAM,6
8/7/2010,RALLS,17
8/7/2010,RANDOLPH,31
8/7/2010,RAY,32
8/7/2010,REYNOLDS,13
8/7/2010,RIPLEY,13
8/7/2010,SALINE,34
8/7/2010,SCHUYLER,6
8/7/2010,SCOTLAND,1
8/7/2010,SCOTT,50
8/7/2010,SHANNON,6
8/7/2010,SHELBY,7
8/7/2010,ST. CHARLES,440
8/7/2010,ST. CLAIR,12
8/7/2010,ST. FRANCOIS,119
8/7/2010,ST. LOUIS,1474
8/7/2010,ST. LOUIS CITY,549
8/7/2010,STE. GENEVIEVE,31
8/7/2010,STODDARD,38
8/7/2010,STONE,84
8/7/2010,SULLIVAN,3
8/7/2010,TANEY,85
8/7/2010,TEXAS,26
8/7/2010,VERNON,21
8/7/2010,WARREN,60
8/7/2010,WASHINGTON,48
8/7/2010,WAYNE,11
8/7/2010,WEBSTER,31
8/7/2010,WORTH,1
8/7/2010,WRIGHT,15
10/9/2010,ADAIR,12
10/9/2010,ANDREW,28
10/9/2010,ATCHISON,4
10/9/2010,AUDRAIN,21
10/9/2010,BARRY,42
10/9/2010,BARTON,35
10/9/2010,BATES,26
10/9/2010,BENTON,26
10/9/2010,BOLLINGER,12
10/9/2010,BOONE,122
10/9/2010,BUCHANAN,124
10/9/2010,BUTLER,57
10/9/2010,CALDWELL,8
10/9/2010,CALLAWAY,50
10/9/2010,CAMDEN,100
10/9/2010,CAPE GIRARDEAU,87
10/9/2010,CARROLL,14
10/9/2010,CARTER,9
10/9/2010,CASS,101
10/9/2010,CEDAR,27
10/9/2010,CHARITON,6
10/9/2010,CHRISTIAN,108
10/9/2010,CLARK,5
10/9/2010,CLAY,275
10/9/2010,CLINTON,17
10/9/2010,COLE,63
10/9/2010,COOPER,20
10/9/2010,CRAWFORD,46
10/9/2010,DADE,11
10/9/2010,DALLAS,39
10/9/2010,DAVIESS,4
10/9/2010,DEKALB,8
10/9/2010,DENT,28
10/9/2010,DOUGLAS,21
10/9/2010,DUNKLIN,44
10/9/2010,FRANKLIN,171
10/9/2010,GASCONADE,23
10/9/2010,GENTRY,4
10/9/2010,GREENE,372
10/9/2010,GRUNDY,12
10/9/2010,HARRISON,2
10/9/2010,HENRY,27
10/9/2010,HICKORY,10
10/9/2010,HOLT,3
10/9/2010,HOWARD,13
10/9/2010,HOWELL,45
10/9/2010,IRON,26
10/9/2010,JACKSON,1304
10/9/2010,JASPER,140
10/9/2010,JEFFERSON,375
10/9/2010,JOHNSON,62
10/9/2010,KNOX,5
10/9/2010,LACLEDE,93
10/9/2010,LAFAYETTE,40
10/9/2010,LAWRENCE,30
10/9/2010,LEWIS,7
10/9/2010,LINCOLN,113
10/9/2010,LINN,13
10/9/2010,LIVINGSTON,16
10/9/2010,MACON,9
10/9/2010,MADISON,13
10/9/2010,MARIES,10
10/9/2010,MARION,38
10/9/2010,MCDONALD,27
10/9/2010,MERCER,2
10/9/2010,MILLER,52
10/9/2010,MISSISSIPPI,32
10/9/2010,MONITEAU,12
10/9/2010,MONROE,5
10/9/2010,MONTGOMERY,16
10/9/2010,MORGAN,30
10/9/2010,NEW MADRID,22
10/9/2010,NEWTON,68
10/9/2010,NODAWAY,15
10/9/2010,OREGON,8
10/9/2010,OSAGE,9
10/9/2010,OZARK,12
10/9/2010,PEMISCOT,25
10/9/2010,PERRY,12
10/9/2010,PETTIS,51
10/9/2010,PHELPS,44
10/9/2010,PIKE,18
10/9/2010,PLATTE,103
10/9/2010,POLK,48
10/9/2010,PULASKI,56
10/9/2010,PUTNAM,2
10/9/2010,RALLS,14
10/9/2010,RANDOLPH,28
10/9/2010,RAY,35
10/9/2010,REYNOLDS,11
10/9/2010,RIPLEY,19
10/9/2010,SALINE,22
10/9/2010,SCHUYLER,0
10/9/2010,SCOTLAND,1
10/9/2010,SCOTT,57
10/9/2010,SHANNON,23
10/9/2010,SHELBY,3
10/9/2010,ST. CHARLES,575
